일시,풍속(m/s),풍향(deg),유의파고(m),wind_speed_index,wind_deg_index,wave_index,berthing_index,berthing_index2
2018-01-01 0:00,10.3,330,3.2,2,4,1,2.37,0.5925
2018-01-01 1:00,10.0,304,3.3,2,3,1,2.04,0.51
2018-01-01 2:00,9.8,304,3.5,2,3,1,2.04,0.51
2018-01-01 3:00,10.4,317,3.4,2,4,1,2.37,0.5925
2018-01-01 4:00,11.3,320,3.5,2,4,1,2.37,0.5925
2018-01-01 5:00,10.4,329,3.3,2,4,1,2.37,0.5925
2018-01-01 6:00,5.9,278,3.3,3,2,1,2.0900000000000003,0.5225000000000001
2018-01-01 7:00,10.6,305,3.3,2,3,1,2.04,0.51
2018-01-01 8:00,11.5,321,3.0,2,4,1,2.37,0.5925
2018-01-01 9:00,10.0,343,3.1,2,4,1,2.37,0.5925
2018-01-01 10:00,10.0,334,3.2,2,4,1,2.37,0.5925
2018-01-01 11:00,9.7,308,3.1,2,3,1,2.04,0.51
2018-01-01 12:00,9.9,318,2.9,2,4,1,2.37,0.5925
2018-01-01 13:00,10.6,354,2.9,2,4,1,2.37,0.5925
2018-01-01 14:00,11.8,310,2.7,2,3,1,2.04,0.51
2018-01-01 15:00,11.4,339,2.9,2,4,1,2.37,0.5925
2018-01-01 16:00,10.9,347,2.9,2,4,1,2.37,0.5925
2018-01-01 17:00,10.0,304,2.8,2,3,1,2.04,0.51
2018-01-01 18:00,9.5,317,3.0,2,4,1,2.37,0.5925
2018-01-01 19:00,9.1,354,2.6,2,4,1,2.37,0.5925
2018-01-01 20:00,9.7,314,2.8,2,3,1,2.04,0.51
2018-01-01 21:00,7.2,324,2.4,3,4,1,2.75,0.6875
2018-01-01 22:00,4.8,332,2.4,3,4,1,2.75,0.6875
2018-01-01 23:00,6.8,306,2.5,3,3,1,2.42,0.605
2018-01-02 0:00,7.0,313,2.4,3,3,1,2.42,0.605
2018-01-02 1:00,7.5,308,2.5,3,3,1,2.42,0.605
2018-01-02 2:00,7.8,306,2.1,3,3,1,2.42,0.605
2018-01-02 3:00,7.5,315,2.2,3,3,1,2.42,0.605
2018-01-02 4:00,8.6,300,2.2,3,3,1,2.42,0.605
2018-01-02 5:00,8.6,315,1.9,3,3,2,2.71,0.6775
2018-01-02 6:00,8.2,335,2.1,3,4,1,2.75,0.6875
2018-01-02 7:00,7.6,287,2.1,3,2,1,2.0900000000000003,0.5225000000000001
2018-01-02 8:00,5.9,297,2.3,3,3,1,2.42,0.605
2018-01-02 9:00,8.6,316,2.4,3,4,1,2.75,0.6875
2018-01-02 10:00,8.0,311,2.5,3,3,1,2.42,0.605
2018-01-02 11:00,7.1,294,2.6,3,3,1,2.42,0.605
2018-01-02 12:00,10.3,335,2.5,2,4,1,2.37,0.5925
2018-01-02 13:00,11.1,315,2.7,2,3,1,2.04,0.51
2018-01-02 14:00,10.7,307,2.5,2,3,1,2.04,0.51
2018-01-02 15:00,10.5,294,3.0,2,3,1,2.04,0.51
2018-01-02 16:00,11.3,300,3.1,2,3,1,2.04,0.51
2018-01-02 17:00,12.8,310,3.6,2,3,1,2.04,0.51
2018-01-02 18:00,12.9,297,3.6,2,3,1,2.04,0.51
2018-01-02 19:00,12.6,346,4.0,2,4,1,2.37,0.5925
2018-01-02 20:00,12.9,308,3.7,2,3,1,2.04,0.51
2018-01-02 21:00,13.4,331,3.6,2,4,1,2.37,0.5925
2018-01-02 22:00,12.5,352,3.4,2,4,1,2.37,0.5925
2018-01-02 23:00,11.7,345,3.2,2,4,1,2.37,0.5925
2018-01-03 0:00,11.1,336,3.3,2,4,1,2.37,0.5925
2018-01-03 1:00,10.1,344,3.5,2,4,1,2.37,0.5925
2018-01-03 2:00,8.9,341,3.3,3,4,1,2.75,0.6875
2018-01-03 3:00,12.1,342,3.2,2,4,1,2.37,0.5925
2018-01-03 4:00,11.7,32,2.9,2,4,1,2.37,0.5925
2018-01-03 5:00,8.1,19,3.2,3,4,1,2.75,0.6875
2018-01-03 6:00,11.5,20,3.0,2,4,1,2.37,0.5925
2018-01-03 7:00,10.2,5,3.7,2,4,1,2.37,0.5925
2018-01-03 8:00,10.0,37,3.4,2,4,1,2.37,0.5925
2018-01-03 9:00,8.0,8,3.0,3,4,1,2.75,0.6875
2018-01-03 10:00,7.5,34,2.9,3,4,1,2.75,0.6875
2018-01-03 11:00,5.8,37,2.7,3,4,1,2.75,0.6875
2018-01-03 12:00,4.3,8,3.1,3,4,1,2.75,0.6875
2018-01-03 13:00,4.5,26,2.5,3,4,1,2.75,0.6875
2018-01-03 14:00,5.1,17,2.5,3,4,1,2.75,0.6875
2018-01-03 15:00,5.4,28,2.2,3,4,1,2.75,0.6875
2018-01-03 16:00,4.2,7,2.6,3,4,1,2.75,0.6875
2018-01-03 17:00,4.4,356,2.7,3,4,1,2.75,0.6875
2018-01-03 18:00,3.3,357,2.4,4,4,1,3.13,0.7825
2018-01-03 19:00,3.6,47,2.1,4,4,1,3.13,0.7825
2018-01-03 20:00,4.2,43,2.2,3,4,1,2.75,0.6875
2018-01-03 21:00,2.5,343,2.2,4,4,1,3.13,0.7825
2018-01-03 22:00,5.3,329,2.2,3,4,1,2.75,0.6875
2018-01-03 23:00,2.9,351,2.4,4,4,1,3.13,0.7825
2018-01-04 0:00,3.2,6,2.3,4,4,1,3.13,0.7825
2018-01-04 1:00,3.3,309,3.1,4,3,1,2.8,0.7
2018-01-04 2:00,3.7,346,3.7,4,4,1,3.13,0.7825
2018-01-04 3:00,7.1,331,2.6,3,4,1,2.75,0.6875
2018-01-04 4:00,7.9,339,3.0,3,4,1,2.75,0.6875
2018-01-04 5:00,7.9,357,3.2,3,4,1,2.75,0.6875
2018-01-04 6:00,8.1,343,3.1,3,4,1,2.75,0.6875
2018-01-04 7:00,7.4,16,2.3,3,4,1,2.75,0.6875
2018-01-04 8:00,7.4,39,2.6,3,4,1,2.75,0.6875
2018-01-04 9:00,7.0,62,2.7,3,4,1,2.75,0.6875
2018-01-04 10:00,7.8,38,2.6,3,4,1,2.75,0.6875
2018-01-04 11:00,6.4,52,2.5,3,4,1,2.75,0.6875
2018-01-04 12:00,6.6,64,2.4,3,4,1,2.75,0.6875
2018-01-04 13:00,6.3,49,2.5,3,4,1,2.75,0.6875
2018-01-04 14:00,7.0,60,2.9,3,4,1,2.75,0.6875
2018-01-04 15:00,6.6,53,2.9,3,4,1,2.75,0.6875
2018-01-04 16:00,6.1,43,2.5,3,4,1,2.75,0.6875
2018-01-04 17:00,6.2,54,2.4,3,4,1,2.75,0.6875
2018-01-04 18:00,5.4,72,2.2,3,4,1,2.75,0.6875
2018-01-04 19:00,5.9,61,2.3,3,4,1,2.75,0.6875
2018-01-04 20:00,5.0,72,2.4,3,4,1,2.75,0.6875
2018-01-04 21:00,5.1,65,2.3,3,4,1,2.75,0.6875
2018-01-04 22:00,5.1,76,2.6,3,4,1,2.75,0.6875
2018-01-04 23:00,4.6,70,2.3,3,4,1,2.75,0.6875
2018-01-05 0:00,4.1,74,2.2,3,4,1,2.75,0.6875
2018-01-05 1:00,4.8,64,2.1,3,4,1,2.75,0.6875
2018-01-05 2:00,4.9,60,1.7,3,4,2,3.04,0.76
2018-01-05 3:00,5.3,71,1.8,3,4,2,3.04,0.76
2018-01-05 4:00,4.7,61,1.6,3,4,2,3.04,0.76
2018-01-05 5:00,4.6,59,1.7,3,4,2,3.04,0.76
2018-01-05 6:00,5.5,46,1.6,3,4,2,3.04,0.76
2018-01-05 7:00,4.2,57,1.6,3,4,2,3.04,0.76
2018-01-05 8:00,3.0,67,1.3,4,4,2,3.42,0.855
2018-01-05 9:00,3.6,84,1.4,4,4,2,3.42,0.855
2018-01-05 10:00,3.2,107,1.3,4,3,2,3.09,0.7725
2018-01-05 11:00,2.9,82,1.2,4,4,2,3.42,0.855
2018-01-05 12:00,1.5,132,1.3,4,3,2,3.09,0.7725
2018-01-05 13:00,2.6,132,1.2,4,3,2,3.09,0.7725
2018-01-05 14:00,2.4,140,1.4,4,2,2,2.7600000000000002,0.6900000000000001
2018-01-05 15:00,2.7,144,1.2,4,2,2,2.7600000000000002,0.6900000000000001
2018-01-05 16:00,2.3,164,1.1,4,1,2,2.43,0.6075
2018-01-05 17:00,2.2,167,1.1,4,1,2,2.43,0.6075
2018-01-05 18:00,2.9,153,1.2,4,2,2,2.7600000000000002,0.6900000000000001
2018-01-05 19:00,2.8,213,1.1,4,1,2,2.43,0.6075
2018-01-05 20:00,4.0,232,1.1,4,1,2,2.43,0.6075
2018-01-05 21:00,0.6,85,1.1,4,4,2,3.42,0.855
2018-01-05 22:00,9.5,299,1.1,2,3,2,2.33,0.5825
2018-01-05 23:00,1.5,340,1.0,4,4,3,3.71,0.9275
2018-01-06 0:00,3.6,311,1.0,4,3,3,3.38,0.845
2018-01-06 1:00,5.8,313,1.1,3,3,2,2.71,0.6775
2018-01-06 2:00,7.4,336,1.0,3,4,3,3.33,0.8325
2018-01-06 3:00,7.9,311,1.0,3,3,3,3.0,0.75
2018-01-06 4:00,8.4,300,1.2,3,3,2,2.71,0.6775
2018-01-06 5:00,8.5,339,1.1,3,4,2,3.04,0.76
2018-01-06 6:00,8.7,344,1.2,3,4,2,3.04,0.76
2018-01-06 7:00,10.7,330,1.4,2,4,2,2.66,0.665
2018-01-06 8:00,8.4,321,1.5,3,4,2,3.04,0.76
2018-01-06 9:00,7.5,354,1.4,3,4,2,3.04,0.76
2018-01-06 10:00,8.6,357,1.5,3,4,2,3.04,0.76
2018-01-06 11:00,7.0,45,1.5,3,4,2,3.04,0.76
2018-01-06 12:00,5.9,31,1.5,3,4,2,3.04,0.76
2018-01-06 13:00,7.7,54,1.4,3,4,2,3.04,0.76
2018-01-06 14:00,7.0,68,1.7,3,4,2,3.04,0.76
2018-01-06 15:00,4.6,50,1.8,3,4,2,3.04,0.76
2018-01-06 16:00,4.7,64,1.6,3,4,2,3.04,0.76
2018-01-06 17:00,4.4,23,1.8,3,4,2,3.04,0.76
2018-01-06 18:00,3.6,24,1.8,4,4,2,3.42,0.855
2018-01-06 19:00,3.0,20,1.6,4,4,2,3.42,0.855
2018-01-06 20:00,1.3,35,1.9,4,4,2,3.42,0.855
2018-01-06 21:00,2.1,13,1.7,4,4,2,3.42,0.855
2018-01-06 22:00,0.3,236,1.8,4,1,2,2.43,0.6075
2018-01-06 23:00,0.6,336,1.9,4,4,2,3.42,0.855
2018-01-07 0:00,0.4,2,1.8,4,4,2,3.42,0.855
2018-01-07 1:00,0.3,265,1.8,4,1,2,2.43,0.6075
2018-01-07 2:00,0.7,192,1.8,4,1,2,2.43,0.6075
2018-01-07 3:00,0.9,255,1.7,4,1,2,2.43,0.6075
2018-01-07 4:00,1.0,271,1.5,4,2,2,2.7600000000000002,0.6900000000000001
2018-01-07 5:00,1.9,177,1.4,4,1,2,2.43,0.6075
2018-01-07 6:00,1.4,230,1.4,4,1,2,2.43,0.6075
2018-01-07 7:00,0.8,219,1.4,4,1,2,2.43,0.6075
2018-01-07 8:00,3.0,181,1.2,4,1,2,2.43,0.6075
2018-01-07 9:00,1.6,207,1.3,4,1,2,2.43,0.6075
2018-01-07 10:00,2.1,232,1.1,4,1,2,2.43,0.6075
2018-01-07 11:00,3.0,165,1.2,4,1,2,2.43,0.6075
2018-01-07 12:00,4.7,154,1.1,3,2,2,2.3800000000000003,0.5950000000000001
2018-01-07 13:00,5.7,197,1.0,3,1,3,2.34,0.585
2018-01-07 14:00,6.3,200,1.1,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-07 15:00,6.2,184,1.2,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-07 16:00,7.1,173,1.1,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-07 17:00,7.6,178,1.1,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-07 18:00,8.1,167,1.1,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-07 19:00,7.4,195,1.2,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-07 20:00,8.3,185,1.2,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-07 21:00,8.8,177,1.2,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-07 22:00,8.3,195,1.2,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-07 23:00,8.9,210,1.2,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-08 0:00,8.8,181,1.3,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-08 1:00,8.3,180,1.4,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-08 2:00,8.3,200,1.3,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-08 3:00,8.8,202,1.4,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-08 4:00,7.0,234,1.3,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-08 5:00,5.4,213,1.2,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-08 6:00,5.0,216,1.3,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-08 7:00,5.3,209,1.1,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-08 8:00,5.2,204,1.0,3,1,3,2.34,0.585
2018-01-08 9:00,4.9,195,0.9,3,1,3,2.34,0.585
2018-01-08 10:00,6.6,205,0.9,3,1,3,2.34,0.585
2018-01-08 11:00,6.4,218,1.0,3,1,3,2.34,0.585
2018-01-08 12:00,4.8,238,0.8,3,1,3,2.34,0.585
2018-01-08 13:00,3.9,264,0.8,4,1,3,2.7199999999999998,0.6799999999999999
2018-01-08 14:00,5.2,290,0.8,3,2,3,2.67,0.6675
2018-01-08 15:00,1.5,288,0.8,4,2,3,3.05,0.7625
2018-01-08 16:00,4.7,277,0.7,3,2,3,2.67,0.6675
2018-01-08 17:00,3.2,286,0.7,4,2,3,3.05,0.7625
2018-01-08 18:00,4.8,329,0.7,3,4,3,3.33,0.8325
2018-01-08 19:00,6.4,339,0.8,3,4,3,3.33,0.8325
2018-01-08 20:00,6.3,324,0.8,3,4,3,3.33,0.8325
2018-01-08 21:00,6.0,320,0.7,3,4,3,3.33,0.8325
2018-01-08 22:00,5.4,306,0.6,3,3,3,3.0,0.75
2018-01-08 23:00,7.1,294,0.8,3,3,3,3.0,0.75
2018-01-09 0:00,10.9,288,0.9,2,2,3,2.29,0.5725
2018-01-09 1:00,11.2,292,1.4,2,3,2,2.33,0.5825
2018-01-09 2:00,11.7,294,2.0,2,3,2,2.33,0.5825
2018-01-09 3:00,11.1,291,2.3,2,3,1,2.04,0.51
2018-01-09 4:00,11.2,284,2.3,2,2,1,1.71,0.4275
2018-01-09 5:00,11.2,315,2.4,2,3,1,2.04,0.51
2018-01-09 6:00,12.6,290,2.7,2,2,1,1.71,0.4275
2018-01-09 7:00,13.5,306,2.9,2,3,1,2.04,0.51
2018-01-09 8:00,15.1,292,2.8,1,3,1,1.6600000000000001,0.41500000000000004
2018-01-09 9:00,15.1,292,3.5,1,3,1,1.6600000000000001,0.41500000000000004
