일시,풍속(m/s),풍향(deg),유의파고(m),파향(deg),wind_speed_index,wind_deg_index,wave_index,wave_deg_index,berthing_index,berthing_index2
2018-01-01 9:00,10.0,343,3.1,15,2,4,1,4,2.6900000000000004,0.6725000000000001
2018-01-01 10:00,10.0,334,3.2,8,2,4,1,4,2.6900000000000004,0.6725000000000001
2018-01-01 12:00,9.9,318,2.9,344,2,4,1,4,2.6900000000000004,0.6725000000000001
2018-01-01 13:00,10.6,354,2.9,345,2,4,1,4,2.6900000000000004,0.6725000000000001
2018-01-01 14:00,11.8,310,2.7,344,2,3,1,4,2.5,0.625
2018-01-01 15:00,11.4,339,2.9,307,2,4,1,4,2.6900000000000004,0.6725000000000001
2018-01-01 17:00,10.0,304,2.8,290,2,3,1,3,2.22,0.555
2018-01-02 9:00,8.6,316,2.4,39,3,4,1,4,2.97,0.7425
2018-01-02 10:00,8.0,311,2.5,71,3,3,1,4,2.7800000000000002,0.6950000000000001
2018-01-02 12:00,10.3,335,2.5,8,2,4,1,4,2.6900000000000004,0.6725000000000001
2018-01-02 13:00,11.1,315,2.7,15,2,3,1,4,2.5,0.625
2018-01-02 14:00,10.7,307,2.5,5,2,3,1,4,2.5,0.625
2018-01-02 15:00,10.5,294,3.0,303,2,3,1,4,2.5,0.625
2018-01-02 17:00,12.8,310,3.6,293,2,3,1,4,2.5,0.625
2018-01-03 9:00,8.0,8,3.0,257,3,4,1,2,2.41,0.6025
2018-01-03 10:00,7.5,34,2.9,273,3,4,1,3,2.6900000000000004,0.6725000000000001
2018-01-03 12:00,4.3,8,3.1,268,3,4,1,2,2.41,0.6025
2018-01-03 13:00,4.5,26,2.5,264,3,4,1,2,2.41,0.6025
2018-01-03 14:00,5.1,17,2.5,293,3,4,1,4,2.97,0.7425
2018-01-03 15:00,5.4,28,2.2,274,3,4,1,3,2.6900000000000004,0.6725000000000001
2018-01-03 17:00,4.4,356,2.7,273,3,4,1,3,2.6900000000000004,0.6725000000000001
2018-01-04 9:00,7.0,62,2.7,266,3,4,1,2,2.41,0.6025
2018-01-04 10:00,7.8,38,2.6,243,3,4,1,2,2.41,0.6025
2018-01-04 12:00,6.6,64,2.4,255,3,4,1,2,2.41,0.6025
2018-01-04 13:00,6.3,49,2.5,277,3,4,1,3,2.6900000000000004,0.6725000000000001
2018-01-04 14:00,7.0,60,2.9,280,3,4,1,3,2.6900000000000004,0.6725000000000001
2018-01-04 15:00,6.6,53,2.9,295,3,4,1,4,2.97,0.7425
2018-01-04 17:00,6.2,54,2.4,287,3,4,1,3,2.6900000000000004,0.6725000000000001
2018-01-05 9:00,3.6,84,1.4,248,4,4,2,2,2.94,0.735
2018-01-05 10:00,3.2,107,1.3,223,4,3,2,1,2.4700000000000006,0.6175000000000002
2018-01-05 12:00,1.5,132,1.3,150,4,3,2,1,2.4700000000000006,0.6175000000000002
2018-01-05 13:00,2.6,132,1.2,139,4,3,2,1,2.4700000000000006,0.6175000000000002
2018-01-05 14:00,2.4,140,1.4,82,4,2,2,4,3.12,0.78
2018-01-05 15:00,2.7,144,1.2,83,4,2,2,4,3.12,0.78
2018-01-05 17:00,2.2,167,1.1,60,4,1,2,4,2.93,0.7325
2018-01-06 9:00,7.5,354,1.4,256,3,4,2,2,2.66,0.665
2018-01-06 10:00,8.6,357,1.5,262,3,4,2,2,2.66,0.665
2018-01-06 12:00,5.9,31,1.5,171,3,4,2,1,2.38,0.595
2018-01-06 13:00,7.7,54,1.4,189,3,4,2,1,2.38,0.595
2018-01-06 14:00,7.0,68,1.7,168,3,4,2,1,2.38,0.595
2018-01-06 15:00,4.6,50,1.8,186,3,4,2,1,2.38,0.595
2018-01-06 17:00,4.4,23,1.8,172,3,4,2,1,2.38,0.595
2018-01-07 9:00,1.6,207,1.3,20,4,1,2,4,2.93,0.7325
2018-01-07 10:00,2.1,232,1.1,27,4,1,2,4,2.93,0.7325
2018-01-07 12:00,4.7,154,1.1,105,3,2,2,4,2.8400000000000003,0.7100000000000001
2018-01-07 13:00,5.7,197,1.0,113,3,1,3,2,2.34,0.585
2018-01-07 14:00,6.3,200,1.1,97,3,1,2,4,2.6500000000000004,0.6625000000000001
2018-01-07 15:00,6.2,184,1.2,97,3,1,2,4,2.6500000000000004,0.6625000000000001
2018-01-07 17:00,7.6,178,1.1,95,3,1,2,4,2.6500000000000004,0.6625000000000001
2018-01-08 9:00,4.9,195,0.9,316,3,1,3,4,2.9000000000000004,0.7250000000000001
2018-01-08 10:00,6.6,205,0.9,316,3,1,3,4,2.9000000000000004,0.7250000000000001
2018-01-08 12:00,4.8,238,0.8,268,3,1,3,2,2.34,0.585
2018-01-08 13:00,3.9,264,0.8,280,4,1,3,3,2.9000000000000004,0.7250000000000001
2018-01-08 14:00,5.2,290,0.8,271,3,2,3,3,2.8100000000000005,0.7025000000000001
2018-01-08 15:00,1.5,288,0.8,114,4,2,3,2,2.81,0.7025
2018-01-08 17:00,3.2,286,0.7,85,4,2,3,4,3.37,0.8425
2018-01-09 9:00,15.1,292,3.5,225,1,3,1,1,1.3800000000000001,0.34500000000000003
2018-01-09 10:00,12.8,284,3.0,239,2,2,1,2,1.75,0.4375
2018-01-09 12:00,11.4,303,3.3,268,2,3,1,2,1.9400000000000002,0.48500000000000004
2018-01-09 13:00,10.2,291,3.2,277,2,3,1,3,2.22,0.555
2018-01-09 14:00,10.2,294,3.2,271,2,3,1,3,2.22,0.555
2018-01-09 15:00,12.0,293,3.2,287,2,3,1,3,2.22,0.555
2018-01-09 17:00,8.9,288,3.3,299,3,2,1,4,2.5900000000000003,0.6475000000000001
2018-01-10 9:00,11.9,310,2.8,303,2,3,1,4,2.5,0.625
2018-01-10 10:00,11.9,298,2.9,294,2,3,1,4,2.5,0.625
2018-01-10 12:00,11.5,305,3.0,307,2,3,1,4,2.5,0.625
2018-01-10 13:00,12.0,327,3.0,286,2,4,1,3,2.41,0.6025
2018-01-10 14:00,12.3,303,3.0,315,2,3,1,4,2.5,0.625
2018-01-10 15:00,10.0,303,2.9,292,2,3,1,4,2.5,0.625
2018-01-10 17:00,12.1,297,3.0,270,2,3,1,2,1.9400000000000002,0.48500000000000004
2018-01-11 9:00,6.9,269,3.2,38,3,1,1,4,2.4000000000000004,0.6000000000000001
2018-01-11 10:00,7.0,281,2.8,10,3,2,1,4,2.5900000000000003,0.6475000000000001
2018-01-11 12:00,7.9,279,3.2,4,3,2,1,4,2.5900000000000003,0.6475000000000001
2018-01-11 13:00,9.2,261,3.1,34,2,1,1,4,2.12,0.53
2018-01-11 14:00,9.6,293,3.5,31,2,3,1,4,2.5,0.625
2018-01-11 15:00,7.8,288,3.4,337,3,2,1,4,2.5900000000000003,0.6475000000000001
2018-01-11 17:00,8.7,299,3.0,345,3,3,1,4,2.7800000000000002,0.6950000000000001
2018-01-12 9:00,9.0,346,3.0,14,3,4,1,4,2.97,0.7425
2018-01-12 10:00,8.5,326,2.8,14,3,4,1,4,2.97,0.7425
2018-01-12 12:00,7.3,334,2.8,16,3,4,1,4,2.97,0.7425
2018-01-12 13:00,7.2,312,2.6,37,3,3,1,4,2.7800000000000002,0.6950000000000001
2018-01-12 14:00,8.0,320,2.6,39,3,4,1,4,2.97,0.7425
2018-01-12 15:00,6.9,342,2.6,43,3,4,1,4,2.97,0.7425
2018-01-12 17:00,6.0,301,2.5,61,3,3,1,4,2.7800000000000002,0.6950000000000001
2018-01-13 9:00,7.3,305,1.8,68,3,3,2,4,3.0300000000000002,0.7575000000000001
2018-01-13 10:00,7.2,300,2.0,71,3,3,2,4,3.0300000000000002,0.7575000000000001
2018-01-13 12:00,8.2,344,2.1,347,3,4,1,4,2.97,0.7425
2018-01-13 13:00,10.3,316,2.2,30,2,4,1,4,2.6900000000000004,0.6725000000000001
2018-01-13 14:00,9.6,319,2.1,294,2,4,1,4,2.6900000000000004,0.6725000000000001
2018-01-13 15:00,10.7,353,1.9,280,2,4,2,3,2.66,0.665
2018-01-13 17:00,5.2,335,2.1,265,3,4,1,2,2.41,0.6025
2018-01-14 9:00,4.1,212,1.3,83,3,1,2,4,2.6500000000000004,0.6625000000000001
2018-01-14 10:00,6.3,224,1.2,79,3,1,2,4,2.6500000000000004,0.6625000000000001
2018-01-14 12:00,7.1,208,1.2,88,3,1,2,4,2.6500000000000004,0.6625000000000001
2018-01-14 13:00,6.6,211,1.0,84,3,1,3,4,2.9000000000000004,0.7250000000000001
2018-01-14 14:00,7.7,225,1.0,88,3,1,3,4,2.9000000000000004,0.7250000000000001
2018-01-14 15:00,8.0,217,1.0,251,3,1,3,2,2.34,0.585
2018-01-14 17:00,9.2,228,1.3,267,2,1,2,2,1.81,0.4525
2018-01-15 9:00,10.7,237,1.8,156,2,1,2,1,1.53,0.3825
2018-01-15 10:00,10.9,277,1.9,218,2,2,2,1,1.72,0.43
2018-01-15 12:00,9.6,288,2.2,249,2,2,1,2,1.75,0.4375
2018-01-15 13:00,9.5,223,1.8,252,2,1,2,2,1.81,0.4525
2018-01-15 14:00,9.0,252,1.6,265,3,1,2,2,2.09,0.5225
2018-01-15 15:00,8.0,279,1.7,236,3,2,2,2,2.2800000000000002,0.5700000000000001
2018-01-15 17:00,6.3,26,1.6,115,3,4,2,2,2.66,0.665
2018-01-16 9:00,8.7,273,1.2,110,3,2,2,4,2.8400000000000003,0.7100000000000001
2018-01-16 10:00,8.1,270,1.2,109,3,1,2,4,2.6500000000000004,0.6625000000000001
2018-01-16 12:00,5.6,283,1.1,107,3,2,2,4,2.8400000000000003,0.7100000000000001
2018-01-16 13:00,3.5,329,1.1,80,4,4,2,4,3.5,0.875
2018-01-16 14:00,6.2,341,1.2,88,3,4,2,4,3.22,0.805
2018-01-16 15:00,4.2,357,1.4,91,3,4,2,4,3.22,0.805
2018-01-16 17:00,9.3,319,1.3,92,2,4,2,4,2.9400000000000004,0.7350000000000001
2018-01-17 9:00,7.4,62,1.1,224,3,4,2,1,2.38,0.595
2018-01-17 10:00,7.5,61,1.0,287,3,4,3,3,3.1900000000000004,0.7975000000000001
2018-01-17 12:00,5.2,44,0.8,278,3,4,3,3,3.1900000000000004,0.7975000000000001
2018-01-17 13:00,4.6,23,0.9,263,3,4,3,2,2.91,0.7275
2018-01-17 14:00,5.0,6,1.0,311,3,4,3,4,3.47,0.8675
2018-01-17 15:00,4.6,9,0.9,5,3,4,3,4,3.47,0.8675
2018-01-17 17:00,3.9,347,0.9,286,4,4,3,3,3.4699999999999998,0.8674999999999999
2018-01-18 9:00,10.6,326,1.7,143,2,4,2,1,2.1,0.525
2018-01-18 10:00,7.6,341,1.5,133,3,4,2,2,2.66,0.665
2018-01-18 12:00,7.4,334,1.5,218,3,4,2,1,2.38,0.595
2018-01-18 13:00,8.9,332,1.5,196,3,4,2,1,2.38,0.595
2018-01-18 14:00,9.4,351,1.7,260,2,4,2,2,2.38,0.595
2018-01-18 15:00,6.7,336,1.9,248,3,4,2,2,2.66,0.665
2018-01-18 17:00,5.7,335,1.8,239,3,4,2,2,2.66,0.665
2018-01-19 9:00,1.0,74,1.1,284,4,4,2,3,3.2199999999999998,0.8049999999999999
2018-01-19 10:00,1.0,172,0.9,275,4,1,3,3,2.9000000000000004,0.7250000000000001
2018-01-19 12:00,0.6,159,1.0,253,4,2,3,2,2.81,0.7025
2018-01-19 13:00,1.2,200,0.9,229,4,1,3,2,2.62,0.655
2018-01-19 14:00,0.5,224,0.9,208,4,1,3,1,2.34,0.585
2018-01-19 15:00,5.5,346,1.0,261,3,4,3,2,2.91,0.7275
2018-01-19 17:00,5.0,349,1.0,248,3,4,3,2,2.91,0.7275
2018-01-20 9:00,8.2,317,1.9,251,3,4,2,2,2.66,0.665
2018-01-20 10:00,8.8,327,2.1,250,3,4,1,2,2.41,0.6025
2018-01-20 12:00,9.2,321,1.7,225,2,4,2,1,2.1,0.525
2018-01-20 14:00,7.6,329,1.6,232,3,4,2,2,2.66,0.665
2018-01-20 15:00,6.2,321,1.7,176,3,4,2,1,2.38,0.595
2018-01-20 17:00,6.5,285,1.3,287,3,2,2,3,2.5600000000000005,0.6400000000000001
2018-01-21 9:00,11.3,311,2.6,253,2,3,1,2,1.9400000000000002,0.48500000000000004
2018-01-21 10:00,11.0,9,2.6,233,2,4,1,2,2.13,0.5325
2018-01-21 12:00,6.3,13,1.9,225,3,4,2,1,2.38,0.595
2018-01-21 13:00,3.3,9,2.4,244,4,4,1,2,2.69,0.6725
2018-01-21 14:00,4.2,26,2.4,272,3,4,1,3,2.6900000000000004,0.6725000000000001
2018-01-21 15:00,2.7,22,2.0,279,4,4,2,3,3.2199999999999998,0.8049999999999999
2018-01-21 17:00,1.9,58,1.5,251,4,4,2,2,2.94,0.735
2018-01-22 9:00,4.6,243,1.2,298,3,1,2,4,2.6500000000000004,0.6625000000000001
2018-01-22 10:00,1.2,328,1.1,265,4,4,2,2,2.94,0.735
2018-01-22 12:00,1.4,211,1.0,233,4,1,3,2,2.62,0.655
2018-01-22 13:00,4.5,315,1.1,286,3,3,2,3,2.75,0.6875
2018-01-22 14:00,7.2,1,1.3,147,3,4,2,1,2.38,0.595
2018-01-22 15:00,4.6,33,1.0,292,3,4,3,4,3.47,0.8675
2018-01-22 17:00,2.8,7,0.9,280,4,4,3,3,3.4699999999999998,0.8674999999999999
2018-01-23 9:00,16.5,298,3.5,259,1,3,1,2,1.6600000000000001,0.41500000000000004
2018-01-23 10:00,14.3,307,3.3,282,1,3,1,3,1.9400000000000002,0.48500000000000004
