일시,풍속(m/s),풍향(deg),유의파고(m),wind_speed_index,wind_deg_index,wave_index,berthing_index,berthing_index2
2018-01-01 9:00,10.0,343,3.1,2,4,1,2.37,0.5925
2018-01-01 10:00,10.0,334,3.2,2,4,1,2.37,0.5925
2018-01-01 12:00,9.9,318,2.9,2,4,1,2.37,0.5925
2018-01-01 13:00,10.6,354,2.9,2,4,1,2.37,0.5925
2018-01-01 14:00,11.8,310,2.7,2,3,1,2.04,0.51
2018-01-01 15:00,11.4,339,2.9,2,4,1,2.37,0.5925
2018-01-01 17:00,10.0,304,2.8,2,3,1,2.04,0.51
2018-01-02 9:00,8.6,316,2.4,3,4,1,2.75,0.6875
2018-01-02 10:00,8.0,311,2.5,3,3,1,2.42,0.605
2018-01-02 12:00,10.3,335,2.5,2,4,1,2.37,0.5925
2018-01-02 13:00,11.1,315,2.7,2,3,1,2.04,0.51
2018-01-02 14:00,10.7,307,2.5,2,3,1,2.04,0.51
2018-01-02 15:00,10.5,294,3.0,2,3,1,2.04,0.51
2018-01-02 17:00,12.8,310,3.6,2,3,1,2.04,0.51
2018-01-03 9:00,8.0,8,3.0,3,4,1,2.75,0.6875
2018-01-03 10:00,7.5,34,2.9,3,4,1,2.75,0.6875
2018-01-03 12:00,4.3,8,3.1,3,4,1,2.75,0.6875
2018-01-03 13:00,4.5,26,2.5,3,4,1,2.75,0.6875
2018-01-03 14:00,5.1,17,2.5,3,4,1,2.75,0.6875
2018-01-03 15:00,5.4,28,2.2,3,4,1,2.75,0.6875
2018-01-03 17:00,4.4,356,2.7,3,4,1,2.75,0.6875
2018-01-04 9:00,7.0,62,2.7,3,4,1,2.75,0.6875
2018-01-04 10:00,7.8,38,2.6,3,4,1,2.75,0.6875
2018-01-04 12:00,6.6,64,2.4,3,4,1,2.75,0.6875
2018-01-04 13:00,6.3,49,2.5,3,4,1,2.75,0.6875
2018-01-04 14:00,7.0,60,2.9,3,4,1,2.75,0.6875
2018-01-04 15:00,6.6,53,2.9,3,4,1,2.75,0.6875
2018-01-04 17:00,6.2,54,2.4,3,4,1,2.75,0.6875
2018-01-05 9:00,3.6,84,1.4,4,4,2,3.42,0.855
2018-01-05 10:00,3.2,107,1.3,4,3,2,3.09,0.7725
2018-01-05 12:00,1.5,132,1.3,4,3,2,3.09,0.7725
2018-01-05 13:00,2.6,132,1.2,4,3,2,3.09,0.7725
2018-01-05 14:00,2.4,140,1.4,4,2,2,2.7600000000000002,0.6900000000000001
2018-01-05 15:00,2.7,144,1.2,4,2,2,2.7600000000000002,0.6900000000000001
2018-01-05 17:00,2.2,167,1.1,4,1,2,2.43,0.6075
2018-01-06 9:00,7.5,354,1.4,3,4,2,3.04,0.76
2018-01-06 10:00,8.6,357,1.5,3,4,2,3.04,0.76
2018-01-06 12:00,5.9,31,1.5,3,4,2,3.04,0.76
2018-01-06 13:00,7.7,54,1.4,3,4,2,3.04,0.76
2018-01-06 14:00,7.0,68,1.7,3,4,2,3.04,0.76
2018-01-06 15:00,4.6,50,1.8,3,4,2,3.04,0.76
2018-01-06 17:00,4.4,23,1.8,3,4,2,3.04,0.76
2018-01-07 9:00,1.6,207,1.3,4,1,2,2.43,0.6075
2018-01-07 10:00,2.1,232,1.1,4,1,2,2.43,0.6075
2018-01-07 12:00,4.7,154,1.1,3,2,2,2.3800000000000003,0.5950000000000001
2018-01-07 13:00,5.7,197,1.0,3,1,3,2.34,0.585
2018-01-07 14:00,6.3,200,1.1,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-07 15:00,6.2,184,1.2,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-07 17:00,7.6,178,1.1,3,1,2,2.0500000000000003,0.5125000000000001
2018-01-08 9:00,4.9,195,0.9,3,1,3,2.34,0.585
2018-01-08 10:00,6.6,205,0.9,3,1,3,2.34,0.585
2018-01-08 12:00,4.8,238,0.8,3,1,3,2.34,0.585
2018-01-08 13:00,3.9,264,0.8,4,1,3,2.7199999999999998,0.6799999999999999
2018-01-08 14:00,5.2,290,0.8,3,2,3,2.67,0.6675
2018-01-08 15:00,1.5,288,0.8,4,2,3,3.05,0.7625
2018-01-08 17:00,3.2,286,0.7,4,2,3,3.05,0.7625
2018-01-09 9:00,15.1,292,3.5,1,3,1,1.6600000000000001,0.41500000000000004
2018-01-09 10:00,12.8,284,3.0,2,2,1,1.71,0.4275
2018-01-09 12:00,11.4,303,3.3,2,3,1,2.04,0.51
2018-01-09 13:00,10.2,291,3.2,2,3,1,2.04,0.51
2018-01-09 14:00,10.2,294,3.2,2,3,1,2.04,0.51
2018-01-09 15:00,12.0,293,3.2,2,3,1,2.04,0.51
2018-01-09 17:00,8.9,288,3.3,3,2,1,2.0900000000000003,0.5225000000000001
2018-01-10 9:00,11.9,310,2.8,2,3,1,2.04,0.51
2018-01-10 10:00,11.9,298,2.9,2,3,1,2.04,0.51
2018-01-10 12:00,11.5,305,3.0,2,3,1,2.04,0.51
2018-01-10 13:00,12.0,327,3.0,2,4,1,2.37,0.5925
2018-01-10 14:00,12.3,303,3.0,2,3,1,2.04,0.51
2018-01-10 15:00,10.0,303,2.9,2,3,1,2.04,0.51
2018-01-10 17:00,12.1,297,3.0,2,3,1,2.04,0.51
2018-01-11 9:00,6.9,269,3.2,3,1,1,1.7600000000000002,0.44000000000000006
2018-01-11 10:00,7.0,281,2.8,3,2,1,2.0900000000000003,0.5225000000000001
2018-01-11 12:00,7.9,279,3.2,3,2,1,2.0900000000000003,0.5225000000000001
2018-01-11 13:00,9.2,261,3.1,2,1,1,1.3800000000000001,0.34500000000000003
2018-01-11 14:00,9.6,293,3.5,2,3,1,2.04,0.51
2018-01-11 15:00,7.8,288,3.4,3,2,1,2.0900000000000003,0.5225000000000001
2018-01-11 17:00,8.7,299,3.0,3,3,1,2.42,0.605
2018-01-12 9:00,9.0,346,3.0,3,4,1,2.75,0.6875
